區鄉,里村,納稅單位,合計,營利所得,執行業務所得,薪資所得,利息所得,租賃及權利金,財產交易所得,機會中獎所得,股利所得,退職所得,其他所得,稿費所得,申報大於歸戶,薪資收入,稿費收入
中山區,合　計,79664,102655787,1276373,2907073,57759152,4215047,5831614,771495,111258,27413840,271047,1831691,39935,227261,73486154,219096
文山區,景美里,1746,1820278,8929,41884,1313815,98359,68194,6173,2865,234007,11912,32856,929,355,1689138,5594
文山區,景行里,2586,2664309,20892,56907,1933271,118516,131614,14284,5160,319548,5257,52071,2757,4033,2489087,9963
文山區,景仁里,1989,2271261,11266,73435,1761057,98958,54161,18417,4145,192321,6239,48655,1983,624,2209166,9057
文山區,萬有里,1964,2077370,10856,55652,1567630,94622,46447,9192,3446,238481,2447,39168,1543,7886,1998664,7701
文山區,景慶里,2141,1862118,19710,44029,1428284,97976,40764,3342,3759,191711,6827,25262,454,0,1896661,4138
文山區,萬隆里,2470,2545292,11374,80105,1957834,133392,40719,5356,6839,238215,13723,40774,3483,13479,2499746,12187
文山區,萬祥里,1577,1380172,5672,42939,1060539,76322,37974,2800,2257,130428,1733,18264,912,332,1395687,4680
文山區,萬年里,1891,2401197,9019,55111,1363929,116721,66042,3884,2189,752736,366,29374,1475,353,1745131,7384
文山區,萬盛里,1640,1554100,8009,33585,1181186,82700,43031,4532,2142,164857,4094,25151,1327,3485,1528582,6707
文山區,萬和里,1120,1342340,6491,80636,968892,67450,25516,6678,1522,159652,4492,20425,640,0,1209696,4321
文山區,興福里,1818,1693666,13851,62745,1291895,74262,38013,5224,2204,164690,12098,28299,386,0,1701464,3911
文山區,興得里,2094,1742598,17386,57336,1340521,71265,65843,7163,2889,142431,8292,29353,51,66,1797895,3768
文山區,興豐里,1676,1990364,9357,40788,1477966,83913,37537,5902,1969,286182,3431,30175,563,12580,1840778,5600
文山區,興旺里,2913,2540266,20021,78642,2046611,99414,28404,10140,10326,197026,1588,43930,1995,2167,2725338,8362
文山區,興光里,1238,1395482,12672,41203,1042644,50814,36718,3905,1568,154561,10249,32207,576,8364,1309678,5084
文山區,興安里,2350,2721358,17484,99478,1981684,134058,75341,10590,3636,324951,14544,55412,2508,1671,2480430,13117
文山區,興昌里,2381,2792919,24196,145404,2053475,115666,64559,9457,3922,326335,3516,44933,1866,0,2578260,12130
文山區,興泰里,1491,1418075,8671,57171,1095104,57021,33694,2603,2490,140001,913,14065,209,6133,1422320,3796
文山區,興業里,1868,1769262,15321,58406,1316177,92545,53402,5692,3809,198085,3374,20753,1828,0,1703573,7634
文山區,景東里,2380,2206626,14528,52955,1745861,102253,47579,6801,2952,188090,2335,41080,2498,0,2278295,9234
文山區,景華里,1903,1846029,16172,44493,1371400,94818,64768,2862,2189,188631,17548,42004,1270,0,1782470,6672
文山區,興家里,2562,2076274,17781,57419,1682248,83138,32658,6272,3986,160850,937,26206,1486,3293,2269156,8950
文山區,萬芳里,2667,2512057,15654,75089,1964546,98628,51743,10303,4398,235403,9315,44146,2867,0,2560518,14745
文山區,木柵里,3189,4276861,23421,121802,2956986,193676,133320,22765,4989,590952,13600,174367,4502,36481,3625399,17764
文山區,博嘉里,1937,2312161,26213,49805,1672852,75956,67130,8926,5127,322575,34351,39278,3492,6457,2084020,10956
文山區,樟腳里,1857,2195361,23522,75411,1465560,82690,51660,7655,3732,407812,8429,82343,2041,0,1871370,7474
文山區,老泉里,199,94418,3146,3723,74174,4522,2423,251,232,3851,0,2070,0,27,114148,156
文山區,木新里,2970,2494242,21817,70616,1931285,118809,69608,11563,4198,208858,7706,47315,2474,0,2556594,13040
文山區,指南里,1271,1300511,12928,66542,1021426,42461,31728,5074,1306,99796,140,17727,1224,160,1303393,9125
文山區,華興里,3034,3631927,20738,101872,2652394,143860,73887,16715,5601,529204,10748,74848,2361,0,3347967,11446
文山區,順興里,2375,2010571,22945,80582,1522944,74010,39573,7885,2541,201956,4473,51432,1926,304,2068892,6230
